construction_type_name,description_x,u_w_per_m2_k,material_glazing_id_layers,description_y
BTAP-GlassDoor-GlazedDoor-1,"Sliding Glass, Aluminum Patio Door",2.4,2.0,"6' x 7' aluminum patio, tempered glass, zero frame thermal break"
BTAP-GlassDoor-GlazedDoor-1,"Sliding Glass, Aluminum Patio Door",2.2,10.0,"6' x 7' aluminum patio, tempered glass"
BTAP-GlassDoor-GlazedDoor-1,"Sliding Glass, Aluminum Patio Door",1.6,18.0,"triple glazed U= 1.6 W/m2-K, 6' x 7' aluminum patio, tempered glass"
BTAP-GlassDoor-GlazedDoor-2,Sliding Entrance Aluminum Doors,2.4,11.0,"entrance, door 5'x7', opening 12'x7'-6', electric operator"
BTAP-GlassDoor-GlazedDoor-2,Sliding Entrance Aluminum Doors,2.2,11.0,"entrance, door 5'x7', opening 12'x7'-6', electric operator"
BTAP-GlassDoor-GlazedDoor-2,Sliding Entrance Aluminum Doors,1.6,19.0,"triple glazed U= 1.6 W/m2-K, entrance, door 5'x7', opening 12'x7'-6', electric operator"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,2.69,47.0,"Starline 4500 T, double glazed, 1 low-e coating, argon filled IG & TGI Spacer, U=2.29W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,2.41,47.0,"Starline 4500 T, double glazed, 1 low-e coating, argon filled IG & TGI Spacer, U=2.29W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,2.1,48.0,"Reynaers Aluminum CP 155-LS, double glazed, U=1.4 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,1.9,48.0,"Reynaers Aluminum CP 155-LS, double glazed, U=1.4 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,1.73,48.0,"Reynaers Aluminum CP 155-LS, double glazed, U=1.4 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,1.44,49.0,"Reynaers Aluminum CP 155-LS, triple glazed, U=1.2 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,1.4,49.0,"Reynaers Aluminum CP 155-LS, triple glazed, U=1.2 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-3,Sliding Aluminum Patio Doors,0.8,49.0,n/a see fibreglass window
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,2.69,50.0,"Starline 9502 double glazed swing door, low-e coating, argon filled IGU, TGI Spacer, U=2.36W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,2.41,50.0,"Starline 9502 double glazed swing door, low-e coating, argon filled IGU, TGI Spacer, U=2.36W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,2.1,51.0,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,1.9,51.0,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,1.73,51.0,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,1.44,51.0,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,1.4,52.0,"Reynaers Aluminum Masterline 10, triple glazed, U=0.9 W/m2K"
BTAP-ExteriorWindow-GlazedDoor-4,Swing Aluminum Patio Doors,0.8,52.0,n/a see fibreglass window
BTAP-ExteriorWindow-GlazedDoor-5,Swing  Fibreglass Doors,1.44,53.0,"Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K"
BTAP-ExteriorWindow-GlazedDoor-5,Swing  Fibreglass Doors,1.4,53.0,"Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K"
BTAP-ExteriorWindow-GlazedDoor-5,Swing  Fibreglass Doors,0.8,54.0,"Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K"
